GISFIPSCode,AVG_AGE,Current_Smoker_Count,Former_Smoker_count,Smoke_at_all_count,PatientCount,ends_atall,ends_use_100k,Current_Smoker_100k,Former_Smoker_100k,Smoke_at_all_100k
42001,69,530,1274,1804,3461,115,3330,15320,36810,52130
48497,65,689,997,1686,3077,116,3770,22400,32410,54800
37117,69,208,361,569,1124,29,2580,18510,32120,50630
5087,69,282,381,663,1061,70,6600,26580,35910,62490
28039,67,221,288,509,996,56,5630,22190,28920,51110
72054,70,22,78,100,264,11,1900,8340,29550,37880
48099,55,1813,2224,4037,8620,752,8730,21040,25800,46840
17015,73,178,264,442,790,31,3930,22540,33420,55950
19037,75,111,158,269,615,21,3420,18050,25700,43740
8095,73,32,53,85,176,11,3410,18190,30120,48300
13301,66,49,53,102,259,11,3090,18920,20470,39390
40141,69,101,91,192,345,26,7540,29280,26380,55660
49041,70,99,194,293,744,19,2560,13310,26080,39390
20001,73,124,119,243,561,36,6420,22110,21220,43320
22099,67,387,548,935,1822,46,2530,21240,30080,51320
18059,63,599,934,1533,3381,228,6750,17720,27630,45350
40133,70,337,324,661,1141,155,13590,29540,28400,57940
21013,68,256,296,552,930,44,4740,27530,31830,59360
48421,75,15,13,28,58,11,3450,25870,22420,48280
47037,63,3826,4130,7956,20090,1068,5320,19050,20560,39610
11001,63,3247,3095,6342,19967,836,4190,16270,15500,31770
51075,69,101,240,341,665,25,3760,15190,36090,51280
39071,71,566,643,1209,2365,104,4400,23940,27190,51120
39079,70,521,515,1036,2169,91,4200,24020,23750,47770
51580,71,84,91,175,304,12,3950,27640,29940,57570
46063,67,18,11,27,48,11,0,37500,18750,56250
30085,67,44,30,74,144,11,1390,30560,20840,51390
47119,65,652,946,1598,3537,160,4530,18440,26750,45180
27125,73,42,84,126,230,11,870,18260,36530,54790
20161,56,403,603,1006,3005,176,5860,13410,20070,33480
23019,69,1446,3505,4951,10025,267,2670,14430,34970,49390
23013,72,301,949,1250,2501,62,2480,12040,37950,49980
28009,71,69,35,104,238,40,16810,29000,14710,43700
46137,70,18,13,31,64,11,3130,28130,20320,48440
41007,69,391,725,1116,2352,121,5150,16630,30830,47450
42125,73,1526,2718,4244,9169,275,3000,16650,29650,46290
21009,68,400,463,863,1519,67,4410,26340,30480,56820
40001,70,199,282,481,762,44,5780,26120,37010,63130
48129,71,83,46,129,245,26,10620,33880,18780,52660
27053,67,4868,8278,13146,44049,1258,2860,11060,18800,29850
46051,74,99,154,253,589,11,1360,16810,26150,42960
27081,76,57,89,146,350,18,5150,16290,25430,41720
19115,72,102,122,224,433,15,3470,23560,28180,51740
18167,70,1056,1850,2906,4986,497,9970,21180,37110,58290
45059,69,605,752,1357,2964,101,3410,20420,25380,45790
48157,58,2438,3744,6182,17818,512,2880,13690,21020,34700
47109,71,313,282,595,1169,455,38930,26780,24130,50900
2240,60,97,87,184,558,11,1440,17390,15600,32980
13321,69,232,206,438,982,40,4080,23630,20980,44610
22085,72,325,322,647,1275,27,2120,25490,25260,50750
5071,69,328,422,750,1259,88,6990,26060,33520,59580
18111,70,147,180,327,528,37,7010,27840,34090,61940
5033,68,981,1307,2288,3821,254,6650,25680,34210,59880
15007,70,279,1025,1304,2855,100,3510,9780,35910,45680
72033,69,54,107,161,637,11,950,8480,16800,25280
55029,74,168,565,733,1373,48,3500,12240,41150,53390
48451,66,1099,1797,2896,5887,219,3720,18670,30530,49200
27083,73,168,291,459,1114,33,2970,15080,26130,41210
19045,72,438,636,1074,2219,76,3430,19740,28670,48400
55045,70,278,514,792,1375,95,6910,20220,37390,57600
21165,68,86,108,194,314,21,6690,27390,34400,61790
56013,71,495,820,1315,2334,61,2620,21210,35140,56350
45051,68,3737,7455,11192,22397,857,3830,16690,33290,49970
9007,69,587,1855,2442,5413,266,4920,10850,34270,45120
17067,71,195,186,381,869,23,2650,22440,21410,43850
17125,70,153,183,336,610,31,5090,25090,30000,55090
21071,71,407,458,865,1419,44,3100,28690,32280,60960
28153,72,133,155,288,661,15,2270,20130,23450,43570
17163,60,2194,3448,5642,15081,515,3420,14550,22870,37420
48141,58,5810,10236,16046,45418,1926,4240,12800,22540,35330
48371,67,85,125,210,378,11,2910,22490,33070,55560
15005,56,11,11,11,11,11,0,0,100000,100000
55079,61,6126,9192,15318,37816,1767,4680,16200,24310,40510
40021,68,713,943,1656,2842,184,6480,25090,33180,58270
46135,72,208,284,492,1236,32,2590,16830,22980,39810
5043,68,214,209,423,769,54,7030,27830,27180,55010
56011,70,111,141,252,506,19,3760,21940,27870,49810
29055,70,288,333,621,1290,52,4040,22330,25820,48140
29045,72,81,84,165,330,11,3030,24550,25460,50000
48475,72,76,127,203,366,11,2460,20770,34700,55470
51089,71,609,965,1574,2907,119,4100,20950,33200,54150
56033,65,760,1009,1769,4552,186,4090,16700,22170,38870
38097,73,78,158,236,555,26,4690,14060,28470,42530
53055,72,51,126,177,471,11,2130,10830,26760,37580
53033,61,7957,9609,17566,52043,2618,5030,15290,18470,33760
49033,70,11,16,24,58,11,1730,13800,27590,41380
36075,67,1004,2530,3534,5699,284,4990,17620,44400,62010
37077,64,449,657,1106,2240,109,4870,20050,29330,49380
13283,64,70,51,121,318,11,1890,22020,16040,38050
20195,76,21,45,66,163,11,5530,12890,27610,40490
6055,76,479,915,1394,5022,102,2040,9540,18220,27760
24510,65,5556,4692,10248,24384,877,3600,22790,19250,42030
47133,70,273,399,672,1046,49,4690,26100,38150,64250
46083,63,450,808,1258,3011,145,4820,14950,26840,41780
21177,69,263,267,530,1010,58,5750,26040,26440,52480
38063,77,49,83,132,268,11,1120,18290,30970,49260
48053,67,473,823,1296,2365,149,6300,20000,34800,54800
47115,68,341,372,713,1209,60,4970,28210,30770,58980
41003,65,368,734,1102,2897,102,3520,12710,25340,38040
45009,67,143,158,301,702,24,3420,20370,22510,42880
48301,56,11,11,11,13,11,7700,7700,15390,23080
54037,63,613,731,1344,3923,154,3930,15630,18640,34260
48357,74,39,40,79,199,11,4020,19600,20100,39700
28143,65,101,45,146,357,116,32500,28300,12610,40900
48439,60,10318,18569,28887,64293,2547,3970,16050,28890,44930
39165,65,1141,1745,2886,7571,363,4800,15070,23050,38120
17073,71,360,604,964,1957,62,3170,18400,30870,49260
48323,58,117,198,315,883,12,1360,13250,22430,35680
19173,72,69,89,158,301,18,5980,22930,29570,52500
20145,73,53,76,129,336,24,7150,15780,22620,38400
40083,63,505,720,1225,2295,261,11380,22010,31380,53380
37033,68,212,300,512,957,40,4180,22160,31350,53500
4012,74,415,728,1143,1838,75,4080,22580,39610,62190
23027,68,370,941,1311,2513,82,3270,14730,37450,52170
45053,65,205,422,627,1532,36,2350,13390,27550,40930
54023,72,156,176,332,648,15,2320,24080,27160,51240
37015,67,98,163,261,583,13,2230,16810,27960,44770
26101,71,236,404,640,1331,48,3610,17740,30360,48090
28097,71,117,141,258,528,14,2660,22160,26710,48870
54047,71,237,207,444,821,13,1590,28870,25220,54080
48369,76,51,42,93,234,11,4700,21800,17950,39750
72007,67,43,86,129,567,11,890,7590,15170,22760
46027,68,97,133,230,591,24,4060,16420,22510,38920
8003,70,140,256,396,745,19,2550,18800,34370,53160
13187,65,215,274,489,1147,55,4800,18750,23890,42640
12063,68,707,656,1363,2941,113,3850,24040,22310,46350
21173,67,301,423,724,1306,89,6820,23050,32390,55440
18077,69,378,509,887,1524,59,3880,24810,33400,58210
51061,61,263,419,682,2015,54,2680,13060,20800,33850
24019,72,272,625,897,1575,55,3500,17270,39690,56960
NULL,60,5442,7914,13356,61038,973,1600,8920,12970,21890
47085,66,226,251,477,909,68,7480,24870,27620,52480
19165,73,100,170,270,655,30,4580,15270,25960,41230
48207,77,55,86,141,256,11,3520,21490,33600,55080
18161,71,50,80,130,295,13,4410,16950,27120,44070
39091,70,325,420,745,2046,70,3430,15890,20530,36420
37027,69,801,1284,2085,3813,133,3490,21010,33680,54690
27099,74,214,544,758,1581,43,2720,13540,34410,47950
72089,68,50,101,151,658,12,1830,7600,15350,22950
18019,66,1174,2045,3219,5844,288,4930,20090,35000,55090
